step,timestamp,external_phi,governor_psi,k_factor,status
0,2026-03-15T19:01:26.181754,0.0,-4e-12,1e-06,GHOSTED
1,2026-03-15T19:01:26.181777,-0.018367,0.020204081631,1e-06,GHOSTED
2,2026-03-15T19:01:26.181798,-0.036735,0.040408163265,1e-06,GHOSTED
3,2026-03-15T19:01:26.181800,-0.055102,0.0606122449,1e-06,GHOSTED
4,2026-03-15T19:01:26.181804,-0.073469,0.080816326534,1e-06,GHOSTED
5,2026-03-15T19:01:26.181807,-0.091837,0.101020408169,1e-06,GHOSTED
6,2026-03-15T19:01:26.181809,-0.110204,0.121224489803,1e-06,GHOSTED
7,2026-03-15T19:01:26.181811,-0.128571,0.141428571438,1e-06,GHOSTED
8,2026-03-15T19:01:26.181813,-0.146939,0.161632653072,1e-06,GHOSTED
9,2026-03-15T19:01:26.181816,-0.165306,0.181836734707,1e-06,GHOSTED
10,2026-03-15T19:01:26.181818,-0.183673,0.202040816341,1e-06,GHOSTED
11,2026-03-15T19:01:26.181820,-0.202041,0.222244897976,1e-06,GHOSTED
12,2026-03-15T19:01:26.181822,-0.220408,0.24244897961,1e-06,GHOSTED
13,2026-03-15T19:01:26.181824,-0.238776,0.262653061245,1e-06,GHOSTED
14,2026-03-15T19:01:26.181826,-0.257143,0.282857142879,1e-06,GHOSTED
15,2026-03-15T19:01:26.181828,-0.27551,0.303061224513,1e-06,GHOSTED
16,2026-03-15T19:01:26.181830,-0.293878,0.323265306148,1e-06,GHOSTED
17,2026-03-15T19:01:26.181833,-0.312245,0.343469387782,1e-06,GHOSTED
18,2026-03-15T19:01:26.181835,-0.330612,0.363673469417,1e-06,GHOSTED
19,2026-03-15T19:01:26.181838,-0.34898,0.383877551051,1e-06,GHOSTED
20,2026-03-15T19:01:26.181840,-0.367347,0.404081632686,1e-06,GHOSTED
21,2026-03-15T19:01:26.181842,-0.385714,0.42428571432,1e-06,GHOSTED
22,2026-03-15T19:01:26.181844,-0.404082,0.444489795955,1e-06,GHOSTED
23,2026-03-15T19:01:26.181847,-0.422449,0.464693877589,1e-06,GHOSTED
24,2026-03-15T19:01:26.181849,-0.440816,0.484897959224,1e-06,GHOSTED
25,2026-03-15T19:01:26.181851,-0.459184,0.505102040858,1e-06,GHOSTED
26,2026-03-15T19:01:26.181853,-0.477551,0.525306122493,1e-06,GHOSTED
27,2026-03-15T19:01:26.181855,-0.495918,0.545510204127,1e-06,GHOSTED
28,2026-03-15T19:01:26.181857,-0.514286,0.565714285762,1e-06,GHOSTED
29,2026-03-15T19:01:26.181859,-0.532653,0.585918367396,1e-06,GHOSTED
30,2026-03-15T19:01:26.181861,-0.55102,0.606122449031,1e-06,GHOSTED
31,2026-03-15T19:01:26.181863,-0.569388,0.626326530665,1e-06,GHOSTED
32,2026-03-15T19:01:26.181865,-0.587755,0.6465306123,1e-06,GHOSTED
33,2026-03-15T19:01:26.181868,-0.606122,0.666734693934,1e-06,GHOSTED
34,2026-03-15T19:01:26.181870,-0.62449,0.686938775569,1e-06,GHOSTED
35,2026-03-15T19:01:26.181872,-0.642857,0.707142857203,1e-06,GHOSTED
36,2026-03-15T19:01:26.181874,-0.661224,0.727346938838,1e-06,GHOSTED
37,2026-03-15T19:01:26.181876,-0.679592,0.747551020472,1e-06,GHOSTED
38,2026-03-15T19:01:26.181878,-0.697959,0.767755102107,1e-06,GHOSTED
39,2026-03-15T19:01:26.181881,-0.716327,0.787959183741,1e-06,GHOSTED
40,2026-03-15T19:01:26.181883,-0.734694,0.808163265376,1e-06,GHOSTED
41,2026-03-15T19:01:26.181885,-0.753061,0.82836734701,1e-06,GHOSTED
42,2026-03-15T19:01:26.181887,-0.771429,0.848571428645,1e-06,GHOSTED
43,2026-03-15T19:01:26.181889,-0.789796,0.868775510279,1e-06,GHOSTED
44,2026-03-15T19:01:26.181891,-0.808163,0.888979591914,1e-06,GHOSTED
45,2026-03-15T19:01:26.181893,-0.826531,0.909183673548,1e-06,GHOSTED
46,2026-03-15T19:01:26.181895,-0.844898,0.929387755183,1e-06,GHOSTED
